날짜,발전기명,설비용량(MW),일발전량(Wh),avgTa,minTa,maxTa,minRhm,avgTs,sumSsHr,avgCm20Te
2021-01-01,광양항어울림태양광,0.656,624000,-0.2,-4.4,5.0,44,-0.5,4.8,2.5
2021-01-02,광양항어울림태양광,0.656,825120,0.7,-2.0,5.1,25,1.7,8.5,3.0
2021-01-03,광양항어울림태양광,0.656,668640,1.2,-2.0,5.3,27,0.5,6.0,3.0
2021-01-04,광양항어울림태양광,0.656,783840,2.7,-2.5,7.7,26,1.9,8.4,3.2
2021-01-05,광양항어울림태양광,0.656,421920,1.6,-3.4,4.9,18,0.8,2.6,3.5
2021-01-06,광양항어울림태양광,0.656,781440,-1.9,-6.3,2.4,35,-0.5,8.2,2.6
2021-01-07,광양항어울림태양광,0.656,915360,-7.2,-10.8,-1.9,34,-0.9,8.3,2.4
2021-01-08,광양항어울림태양광,0.656,970560,-8.6,-11.8,-3.8,40,-5.2,0.0,1.7
2021-01-09,광양항어울림태양광,0.656,1486080,-5.6,-10.6,0.7,31,-3.3,8.5,0.9
2021-01-10,광양항어울림태양광,0.656,2051040,-2.7,-8.1,3.8,40,-1.8,7.5,0.6
2021-01-11,광양항어울림태양광,0.656,1082880,-0.3,-3.3,2.9,48,-0.9,0.6,0.8
2021-01-12,광양항어울림태양광,0.656,1528800,0.9,-3.9,5.5,36,0.3,7.5,0.9
2021-01-13,광양항어울림태양광,0.656,1987200,5.7,-0.6,12.2,39,2.1,8.0,1.5
2021-01-14,광양항어울림태양광,0.656,2120160,8.0,1.9,12.8,26,3.7,8.2,3.0
2021-01-15,광양항어울림태양광,0.656,1745280,10.1,5.3,16.2,54,6.7,5.2,4.6
2021-01-16,광양항어울림태양광,0.656,2402400,1.6,-2.8,7.5,28,3.5,8.4,5.2
2021-01-17,광양항어울림태양광,0.656,2648160,-1.1,-3.4,2.9,19,1.7,8.9,3.9
2021-01-18,광양항어울림태양광,0.656,1374720,0.9,-3.2,6.1,35,1.6,3.3,3.2
2021-01-19,광양항어울림태양광,0.656,2532000,0.1,-4.9,5.8,19,1.3,9.1,3.0
2021-01-20,광양항어울림태양광,0.656,890400,3.9,-2.8,11.4,28,2.8,8.4,3.1
2021-01-21,광양항어울림태양광,0.656,1068960,7.6,3.1,12.4,53,5.5,3.8,4.5
2021-01-22,광양항어울림태양광,0.656,520800,9.4,7.3,11.6,85,8.5,0.3,6.5
2021-01-23,광양항어울림태양광,0.656,444960,10.5,8.6,12.1,67,8.5,0.0,7.6
2021-01-24,광양항어울림태양광,0.656,2218560,9.2,7.4,13.6,44,7.6,6.7,7.7
2021-01-25,광양항어울림태양광,0.656,2448000,9.5,6.8,13.9,41,8.1,8.5,7.7
2021-01-26,광양항어울림태양광,0.656,444960,7.1,4.7,9.0,63,6.2,0.4,7.7
2021-01-27,광양항어울림태양광,0.656,2235840,6.1,1.4,11.4,27,5.0,8.0,6.8
2021-01-28,광양항어울림태양광,0.656,1879200,2.3,-3.9,10.0,24,2.4,4.9,6.3
2021-01-29,광양항어울림태양광,0.656,2823360,-2.7,-6.4,2.6,28,0.6,9.3,4.3
2021-01-30,광양항어울림태양광,0.656,2002080,2.9,-4.7,10.2,42,1.9,5.4,3.6
2021-01-31,광양항어울림태양광,0.656,1982880,6.5,-0.8,11.6,36,4.5,6.0,4.5
2021-02-01,광양항어울림태양광,0.656,415680,8.8,6.6,11.8,42,7.7,0.4,6.7
2021-02-02,광양항어울림태양광,0.656,3040320,0.2,-2.9,6.6,18,1.9,9.4,5.8
2021-02-03,광양항어울림태양광,0.656,2915520,1.1,-3.4,7.1,12,2.0,9.4,4.6
2021-02-04,광양항어울림태양광,0.656,2958720,3.4,-0.1,8.1,17,3.2,9.6,4.8
2021-02-05,광양항어울림태양광,0.656,1660800,3.7,-2.0,8.1,21,1.8,3.4,4.5
2021-02-06,광양항어울림태양광,0.656,2446560,8.1,2.9,15.2,34,5.2,8.9,5.2
2021-02-07,광양항어울림태양광,0.656,2466720,9.2,4.9,16.6,19,7.6,8.7,6.5
2021-02-08,광양항어울림태양광,0.656,3028320,1.4,-2.2,7.1,18,3.6,9.7,6.2
2021-02-09,광양항어울림태양광,0.656,3007680,2.6,-3.7,9.4,19,3.8,9.7,5.3
2021-02-10,광양항어울림태양광,0.656,2709600,6.1,-1.1,14.1,15,5.1,9.2,5.4
2021-02-11,광양항어울림태양광,0.656,1524480,6.7,2.2,11.2,36,5.0,1.5,5.9
2021-02-12,광양항어울림태양광,0.656,2383200,9.4,4.4,16.2,25,8.2,7.4,6.7
2021-02-13,광양항어울림태양광,0.656,2614080,11.2,4.0,19.4,16,8.5,8.5,7.5
2021-02-14,광양항어울림태양광,0.656,1116480,11.5,8.3,15.8,37,9.4,0.5,8.4
2021-02-15,광양항어울림태양광,0.656,1941600,5.1,-0.7,10.7,39,7.6,6.6,8.7
2021-02-16,광양항어울림태양광,0.656,2851200,1.2,-2.8,8.2,26,3.9,7.5,6.7
2021-02-17,광양항어울림태양광,0.656,2252640,-4.2,-5.9,-0.2,40,1.4,7.6,5.6
2021-02-18,광양항어울림태양광,0.656,2797920,-2.8,-6.1,1.7,39,2.0,9.0,4.5
2021-02-19,광양항어울림태양광,0.656,3273600,4.6,-3.1,13.1,24,4.9,10.2,4.8
2021-02-20,광양항어울림태양광,0.656,2735520,11.4,4.9,19.2,39,9.1,9.5,6.6
2021-02-21,광양항어울림태양광,0.656,3012960,14.6,7.2,23.3,23,11.4,10.1,8.4
2021-02-22,광양항어울림태양광,0.656,2763360,14.0,7.4,22.8,22,13.6,8.6,10.1
2021-02-23,광양항어울림태양광,0.656,2662560,6.8,2.2,13.7,11,8.8,7.9,9.5
2021-02-24,광양항어울림태양광,0.656,1513920,6.5,1.5,11.3,12,6.5,1.5,8.3
2021-02-25,광양항어울림태양광,0.656,477600,7.0,3.7,9.8,56,6.2,0.0,7.6
2021-02-26,광양항어울림태양광,0.656,2386560,9.5,5.8,13.9,39,9.0,5.7,8.1
2021-02-27,광양항어울림태양광,0.656,2559360,8.1,5.8,12.6,38,7.8,7.0,8.4
2021-02-28,광양항어울림태양광,0.656,1233600,9.1,5.7,12.9,47,8.1,0.8,8.5
2021-03-01,광양항어울림태양광,0.656,236160,11.9,8.5,15.6,75,11.0,0.0,9.7
2021-03-02,광양항어울림태양광,0.656,3148320,6.7,3.2,11.3,40,8.7,5.2,10.2
2021-03-03,광양항어울림태양광,0.656,3195360,6.2,1.7,10.7,35,8.1,9.3,9.0
2021-03-04,광양항어울림태양광,0.656,453120,7.9,4.7,9.9,60,7.1,0.0,8.8
2021-03-05,광양항어울림태양광,0.656,3257760,12.4,6.0,18.5,50,12.6,9.5,9.8
2021-03-06,광양항어울림태양광,0.656,2340480,9.7,5.4,16.6,42,9.4,5.3,10.5
2021-03-07,광양항어울림태양광,0.656,2487840,7.2,4.4,11.0,52,9.9,5.0,9.8
2021-03-08,광양항어울림태양광,0.656,3269280,8.9,3.5,15.0,33,10.5,10.0,10.0
2021-03-09,광양항어울림태양광,0.656,2957760,10.4,6.6,15.0,30,11.8,6.9,10.9
2021-03-10,광양항어울림태양광,0.656,3336960,10.7,5.0,17.0,29,11.3,10.3,10.9
