stnId,tm,avgTa,minTa,maxTa,minRhm,avgTs,sumSsHr,avgCm20Te,avgM15Te,sumFogDur,sumRn
266,2021-01-01,-0.2,-4.4,5.0,44,-0.5,4.8,2.5,,,0.0
266,2021-01-02,0.7,-2.0,5.1,25,1.7,8.5,3.0,,,0.0
266,2021-01-03,1.2,-2.0,5.3,27,0.5,6.0,3.0,,,
266,2021-01-04,2.7,-2.5,7.7,26,1.9,8.4,3.2,,,
266,2021-01-05,1.6,-3.4,4.9,18,0.8,2.6,3.5,,,
266,2021-01-06,-1.9,-6.3,2.4,35,-0.5,8.2,2.6,,,0.0
266,2021-01-07,-7.2,-10.8,-1.9,34,-0.9,8.3,2.4,,,0.7
266,2021-01-08,-8.6,-11.8,-3.8,40,-5.2,,1.7,,,
266,2021-01-09,-5.6,-10.6,0.7,31,-3.3,8.5,0.9,,,
266,2021-01-10,-2.7,-8.1,3.8,40,-1.8,7.5,0.6,,,
266,2021-01-11,-0.3,-3.3,2.9,48,-0.9,0.6,0.8,,,
266,2021-01-12,0.9,-3.9,5.5,36,0.3,7.5,0.9,,,
266,2021-01-13,5.7,-0.6,12.2,39,2.1,8.0,1.5,,,
266,2021-01-14,8.0,1.9,12.8,26,3.7,8.2,3.0,,,
266,2021-01-15,10.1,5.3,16.2,54,6.7,5.2,4.6,,,
266,2021-01-16,1.6,-2.8,7.5,28,3.5,8.4,5.2,,,
266,2021-01-17,-1.1,-3.4,2.9,19,1.7,8.9,3.9,,,
266,2021-01-18,0.9,-3.2,6.1,35,1.6,3.3,3.2,,,0.3
266,2021-01-19,0.1,-4.9,5.8,19,1.3,9.1,3.0,,,
266,2021-01-20,3.9,-2.8,11.4,28,2.8,8.4,3.1,,,
266,2021-01-21,7.6,3.1,12.4,53,5.5,3.8,4.5,,,3.0
266,2021-01-22,9.4,7.3,11.6,85,8.5,0.3,6.5,,,1.0
266,2021-01-23,10.5,8.6,12.1,67,8.5,0.0,7.6,,,1.0
266,2021-01-24,9.2,7.4,13.6,44,7.6,6.7,7.7,,,
266,2021-01-25,9.5,6.8,13.9,41,8.1,8.5,7.7,,,
266,2021-01-26,7.1,4.7,9.0,63,6.2,0.4,7.7,,,9.0
266,2021-01-27,6.1,1.4,11.4,27,5.0,8.0,6.8,,,
266,2021-01-28,2.3,-3.9,10.0,24,2.4,4.9,6.3,,,0.2
266,2021-01-29,-2.7,-6.4,2.6,28,0.6,9.3,4.3,,,
266,2021-01-30,2.9,-4.7,10.2,42,1.9,5.4,3.6,,,
266,2021-01-31,6.5,-0.8,11.6,36,4.5,6.0,4.5,,,2.5
266,2021-02-01,8.8,6.6,11.8,42,7.7,0.4,6.7,,,13.5
266,2021-02-02,0.2,-2.9,6.6,18,1.9,9.4,5.8,,,
266,2021-02-03,1.1,-3.4,7.1,12,2.0,9.4,4.6,,,
266,2021-02-04,3.4,-0.1,8.1,17,3.2,9.6,4.8,,,0.0
266,2021-02-05,3.7,-2.0,8.1,21,1.8,3.4,4.5,,,
266,2021-02-06,8.1,2.9,15.2,34,5.2,8.9,5.2,,,
266,2021-02-07,9.2,4.9,16.6,19,7.6,8.7,6.5,,,
266,2021-02-08,1.4,-2.2,7.1,18,3.6,9.7,6.2,,,
266,2021-02-09,2.6,-3.7,9.4,19,3.8,9.7,5.3,,,
266,2021-02-10,6.1,-1.1,14.1,15,5.1,9.2,5.4,,,
266,2021-02-11,6.7,2.2,11.2,36,5.0,1.5,5.9,,,
266,2021-02-12,9.4,4.4,16.2,25,8.2,7.4,6.7,,,
