날짜,발전기명,설비용량(MW),일발전량(Wh)
2021-01-01,광양항어울림태양광,0.656,624000
2021-01-02,광양항어울림태양광,0.656,825120
2021-01-03,광양항어울림태양광,0.656,668640
2021-01-04,광양항어울림태양광,0.656,783840
2021-01-05,광양항어울림태양광,0.656,421920
2021-01-06,광양항어울림태양광,0.656,781440
2021-01-07,광양항어울림태양광,0.656,915360
2021-01-08,광양항어울림태양광,0.656,970560
2021-01-09,광양항어울림태양광,0.656,1486080
2021-01-10,광양항어울림태양광,0.656,2051040
2021-01-11,광양항어울림태양광,0.656,1082880
2021-01-12,광양항어울림태양광,0.656,1528800
2021-01-13,광양항어울림태양광,0.656,1987200
2021-01-14,광양항어울림태양광,0.656,2120160
2021-01-15,광양항어울림태양광,0.656,1745280
2021-01-16,광양항어울림태양광,0.656,2402400
2021-01-17,광양항어울림태양광,0.656,2648160
2021-01-18,광양항어울림태양광,0.656,1374720
2021-01-19,광양항어울림태양광,0.656,2532000
2021-01-20,광양항어울림태양광,0.656,890400
2021-01-21,광양항어울림태양광,0.656,1068960
2021-01-22,광양항어울림태양광,0.656,520800
2021-01-23,광양항어울림태양광,0.656,444960
2021-01-24,광양항어울림태양광,0.656,2218560
2021-01-25,광양항어울림태양광,0.656,2448000
2021-01-26,광양항어울림태양광,0.656,444960
2021-01-27,광양항어울림태양광,0.656,2235840
2021-01-28,광양항어울림태양광,0.656,1879200
2021-01-29,광양항어울림태양광,0.656,2823360
2021-01-30,광양항어울림태양광,0.656,2002080
2021-01-31,광양항어울림태양광,0.656,1982880
2021-01-01,광양항태양광,2.3,3448800
2021-01-02,광양항태양광,2.3,4366800
2021-01-03,광양항태양광,2.3,3598200
2021-01-04,광양항태양광,2.3,4269600
2021-01-05,광양항태양광,2.3,2451600
2021-01-06,광양항태양광,2.3,4226400
2021-01-07,광양항태양광,2.3,3088800
2021-01-08,광양항태양광,2.3,4780800
2021-01-09,광양항태양광,2.3,4689000
2021-01-10,광양항태양광,2.3,4210200
2021-01-11,광양항태양광,2.3,2415600
2021-01-12,광양항태양광,2.3,4289400
2021-01-13,광양항태양광,2.3,4172400
2021-01-14,광양항태양광,2.3,4363200
2021-01-15,광양항태양광,2.3,3735000
2021-01-16,광양항태양광,2.3,4669200
2021-01-17,광양항태양광,2.3,5040000
2021-01-18,광양항태양광,2.3,3006000
2021-01-19,광양항태양광,2.3,4989600
2021-01-20,광양항태양광,2.3,4885200
2021-01-21,광양항태양광,2.3,3009600
2021-01-22,광양항태양광,2.3,1229400
2021-01-23,광양항태양광,2.3,981000
2021-01-24,광양항태양광,2.3,4606200
2021-01-25,광양항태양광,2.3,5178600
2021-01-26,광양항태양광,2.3,936000
2021-01-27,광양항태양광,2.3,5333400
2021-01-28,광양항태양광,2.3,4275000
2021-01-29,광양항태양광,2.3,6224400
2021-01-30,광양항태양광,2.3,4397400
2021-01-31,광양항태양광,2.3,5250600
2021-01-01,광양항황금물류센터태양광,1.1,2834112
2021-01-02,광양항황금물류센터태양광,1.1,3998496
2021-01-03,광양항황금물류센터태양광,1.1,3340608
2021-01-04,광양항황금물류센터태양광,1.1,3867072
2021-01-05,광양항황금물류센터태양광,1.1,1916064
2021-01-06,광양항황금물류센터태양광,1.1,4001184
2021-01-07,광양항황금물류센터태양광,1.1,4526784
2021-01-08,광양항황금물류센터태양광,1.1,4564128
2021-01-09,광양항황금물류센터태양광,1.1,4492224
2021-01-10,광양항황금물류센터태양광,1.1,3934368
2021-01-11,광양항황금물류센터태양광,1.1,1685088
2021-01-12,광양항황금물류센터태양광,1.1,3932640
2021-01-13,광양항황금물류센터태양광,1.1,3709920
2021-01-14,광양항황금물류센터태양광,1.1,3871584
2021-01-15,광양항황금물류센터태양광,1.1,2967456
2021-01-16,광양항황금물류센터태양광,1.1,4320384
2021-01-17,광양항황금물류센터태양광,1.1,4746336
2021-01-18,광양항황금물류센터태양광,1.1,2465568
2021-01-19,광양항황금물류센터태양광,1.1,4484064
2021-01-20,광양항황금물류센터태양광,1.1,4347744
2021-01-21,광양항황금물류센터태양광,1.1,2428320
2021-01-22,광양항황금물류센터태양광,1.1,824736
2021-01-23,광양항황금물류센터태양광,1.1,623040
2021-01-24,광양항황금물류센터태양광,1.1,3684480
2021-01-25,광양항황금물류센터태양광,1.1,4440288
